,scenario,plan,worker,syncthreadpoolsize,image,notes,http_reqs_count,http_reqs_rate,checks_passes,checks_fails,iterations_count,iterations_rate,virtual_users_max,virtual_users_min,virtual_users_max_max,virtual_users_max_min,http_req_blocked_avg,http_req_blocked_max,http_req_blocked_med,http_req_blocked_min,http_req_blocked_p90,http_req_blocked_p95,http_req_connecting_avg,http_req_connecting_max,http_req_connecting_med,http_req_connecting_min,http_req_connecting_p90,http_req_connecting_p95,http_req_duration_avg,http_req_duration_max,http_req_duration_med,http_req_duration_min,http_req_duration_p90,http_req_duration_p95,http_req_receiving_avg,http_req_receiving_max,http_req_receiving_med,http_req_receiving_min,http_req_receiving_p90,http_req_receiving_p95,http_req_sending_avg,http_req_sending_max,http_req_sending_med,http_req_sending_min,http_req_sending_p90,http_req_sending_p95,http_req_tls_handshaking_avg,http_req_tls_handshaking_max,http_req_tls_handshaking_med,http_req_tls_handshaking_min,http_req_tls_handshaking_p90,http_req_tls_handshaking_p95,http_req_waiting_avg,http_req_waiting_max,http_req_waiting_med,http_req_waiting_min,http_req_waiting_p90,http_req_waiting_p95,iteration_duration_avg,iteration_duration_max,iteration_duration_med,iteration_duration_min,iteration_duration_p90,iteration_duration_p95
20,asyncsendingasyncrequests,ep3,1,1,pywinder-nologging-wrk1-stp-1,no logging in _handle__invocation_request,103785,345.8997269336874,103785,0,103785,345.8997269336874,100,1,100,100,0.002080464421643,0.989,0.002,0.001,0.002,0.003,0.000259372741725,0.873,0.0,0.0,0.0,0.0,267.4710727947195,1195.585,268.825,48.668,317.5008,350.0978,0.11439056703764801,23.508,0.034,0.017,0.315,0.4,0.011211205858253,0.628,0.011,0.006,0.013000000000000001,0.014,0,0,0,0,0,0,267.3454710218237,1195.119,268.7,48.62,317.3874,349.983,267.5413366426336,1195.622175,268.895367,48.75947,317.568135,350.1599763999999
21,asynchelloworld,consumption,1,5,pywinder-wrk1-stp-none,,37070,123.55124294133536,74140,0,37070,123.55124294133536,100,1,100,100,0.0033395737793350004,1.373,0.002,0.001,0.003,0.003,0.0009626382519550001,1.015,0.0,0.0,0.0,0.0,749.3313568384137,999.352,795.9649999999999,4.292,892.2294,902.3752,0.21744170488265202,80.151,0.04,0.022,0.145,0.25,0.013729646614512002,0.38,0.013000000000000001,0.006,0.017,0.019,0,0,0,0,0,0,749.1001854869158,999.291,795.8905,4.205,892.1045999999999,902.2861,749.4177310414074,999.452551,796.0435170000001,4.378711,892.3172396,902.4784883
22,asynccpuintensive,ep3,4,10,pywinder-nologging-wrk4-stp-10,no logging in _handle__invocation_request,3331,11.090877243040856,3331,0,3331,11.090877243040856,25,1,25,25,0.004560492344641,1.432,0.002,0.001,0.002,0.003,0.0017541278895220002,0.43,0.0,0.0,0.0,0.0,1977.5550759531618,2787.84,2205.526,319.844,2494.231,2575.837,0.19091714199939802,6.225,0.059000000000000004,0.021,0.435,0.524,0.013338937256079,0.12,0.012,0.007,0.014,0.028,0,0,0,0,0,0,1977.3508198739155,2787.799,2205.398,319.782,2494.142,2575.445,1977.7193647859472,2790.23707,2205.802583,319.927314,2494.776306,2575.844177
23,synccpuintensivesleep,ep2,1,1,pywinder-wrk1-stp-1,,146,0.442371141801003,146,0,146,0.442371141801003,25,1,25,25,0.054308219178082005,0.796,0.002,0.001,0.2735,0.306,0.03586301369863,0.254,0.0,0.0,0.1995,0.21975000000000003,45233.870712328775,55100.811,54712.706,2191.288,54990.714,55072.579249999995,0.11230821917808201,1.342,0.058,0.037,0.169999999999999,0.40750000000000003,0.022732876712328,0.11900000000000001,0.013000000000000001,0.01,0.0495,0.05675,0,0,0,0,0,0,45233.7356712329,55100.762,54712.616,2191.102,54989.994999999995,55072.329000000005,45232.69291561644,55099.248865,54711.177566,2192.323971,54989.1581965,55071.023775
24,asynchelloworld,consumption,4,1,pywinder-nologging-wrk4-stp-1,no logging in _handle__invocation_request,48575,161.9038741018943,97150,0,48575,161.9038741018943,100,1,100,100,0.0032943489449290004,0.9510000000000001,0.002,0.001,0.004,0.004,0.0004945959855890001,0.545,0.0,0.0,0.0,0.0,571.702593885744,1796.274,543.668,3.529,901.2926,1087.4701999999995,0.650531899125054,889.594,0.041,0.015,0.23600000000000002,0.543299999999995,0.015008358208953002,0.302,0.014,0.005,0.02,0.024,0,0,0,0,0,0,571.0370536284121,1796.23,536.978,3.482,901.0956,1086.8045999999997,571.8468997032826,1796.324828,543.743608,3.620299,901.4595534,1087.5526792999992
25,asyncsendingsyncrequests,ep3,1,1,pywinder-wrk1-stp-1,,3548,11.744498086626622,3548,0,3548,11.744498086626622,100,3,100,100,0.015738726042842002,0.9470000000000001,0.002,0.001,0.003,0.004,0.009501127395715,0.525,0.0,0.0,0.0,0.0,7992.555369785798,20540.735,4536.178,226.396,20008.3952,20370.872450000003,0.070385005636978,2.448,0.046,0.037,0.096,0.22764999999999902,0.015876832018038002,0.194,0.014,0.009000000000000001,0.016,0.023,0,0,0,0,0,0,7992.469107948147,20540.669,4536.119000000001,226.299,20008.3382,20370.8111,7992.911904804676,20540.677173,4536.884827,226.511939,20007.9012238,20370.44915
26,synchtmlparsing,ep3,1,1,pywinder-nologging-wrk1-stp-1,no logging in _handle__invocation_request,16016,53.37885324805773,32032,0,16016,53.37885324805773,50,1,50,50,0.0032025474525480004,1.465,0.002,0.001,0.003,0.003,0.0006886238761230001,0.488,0.0,0.0,0.0,0.0,819.8358463411618,1389.185,900.546,19.846,1044.1795000000002,1091.2469999999998,0.105137175324677,9.06,0.045,0.021,0.268,0.395,0.141136363636362,9.41,0.133,0.079,0.181,0.2,0,0,0,0,0,0,819.5895728021976,1388.946,900.3365,19.679,1043.9725,1091.08375,820.7315230588187,1389.968442,901.42886,20.852606,1045.096952,1092.1837527500002
27,asynccpuintensive,consumption,1,10,pywinder-nologging-wrk1-stp-10,no logging in _handle__invocation_request,768,2.5414847414749433,768,0,768,2.5414847414749433,25,1,25,25,0.012398437500000001,0.772,0.002,0.001,0.003,0.004649999999999,0.00709375,0.41600000000000004,0.0,0.0,0.0,0.0,8670.817888020838,19044.217,9126.497500000001,2953.732,9401.8016,9583.05085,0.12221875000000001,10.093,0.052000000000000005,0.033,0.22730000000000003,0.379299999999999,0.015546874999999,0.137,0.012,0.009000000000000001,0.028,0.033,0,0,0,0,0,0,8670.680122395826,19044.039,9126.115,2953.652,9401.7392,9582.967,8671.326661805988,19044.69399,9126.7520355,2953.77771,9402.343234400001,9583.24494115
28,synchelloworld,consumption,4,1,pywinder-nologging-wrk4-stp-1,no logging in _handle__invocation_request,51030,170.07828270408152,102060,0,51030,170.07828270408152,100,1,100,100,0.003309367038995,0.723,0.002,0.001,0.004,0.004,0.000494336664707,0.493,0.0,0.0,0.0,0.0,544.1631840877945,1805.64,511.541,3.408,798.113,896.5211,0.70489204389574,792.822,0.041,0.015,0.293,0.609,0.015130354693315001,1.968,0.014,0.005,0.02,0.024,0,0,0,0,0,0,543.4431616892056,1805.595,511.1175,3.372,797.8732,896.3321,544.2705196556906,1805.729943,511.6320245,3.478453,798.2215192,896.61796225
29,asyncsendingasyncrequests,consumption,4,5,pywinder-wrk4-stp-none,,25994,86.6304327011147,25994,0,25994,86.6304327011147,100,1,100,100,0.004825344310224001,1.982,0.002,0.001,0.004,0.005,0.0015920981765020002,1.828,0.0,0.0,0.0,0.0,1069.0365537046957,5777.748,920.0535,12.773,1995.9882,2291.1911999999998,0.628282911441112,195.587,0.047,0.017,0.341,0.5760000000000001,0.016764099407554002,0.68,0.016,0.006,0.022,0.026000000000000002,0,0,0,0,0,0,1068.3915066938544,5777.679,916.029,12.649000000000001,1995.6597000000002,2290.7878499999997,1069.1734030357343,5777.751993,920.1095955000001,12.858972,1996.0584534,2291.2474709999997
30,asyncsendingasyncrequests,ep3,1,1,pywinder-wrk1-stp-1,,83808,279.3179747485792,83808,0,83808,279.3179747485792,100,1,100,100,0.002063203990074,0.901,0.002,0.001,0.002,0.002,0.000240597556319,0.325,0.0,0.0,0.0,0.0,331.24621533744113,2459.43,351.0915,10.491,378.811,387.23364999999995,0.108569957521969,17.484,0.035,0.021,0.304,0.377,0.011352424589529,1.407,0.011,0.006,0.013000000000000001,0.014,0,0,0,0,0,0,331.1262929553255,2459.237,350.97249999999997,10.454,378.707,387.128,331.31837509547734,2459.430782,351.164468,10.568816,378.8841957,387.29982005
31,asynccpuintensivesleep,consumption,4,1,pywinder-wrk4-stp-1,,346,1.093360736618995,346,0,346,1.093360736618995,25,1,25,25,0.033263005780347,0.8250000000000001,0.002,0.001,0.003,0.313,0.021592485549132002,0.531,0.0,0.0,0.0,0.22125000000000003,19840.21941040463,27871.81,19365.804,2957.199,26969.828,27269.2955,0.39377745664739905,52.57,0.046,0.028,0.115499999999999,0.232749999999999,0.018312138728323,0.171,0.014,0.009000000000000001,0.021,0.05,0,0,0,0,0,0,19839.807320809276,27871.758,19365.7455,2949.401,26969.764000000003,27267.991749999997,19840.031829959535,27871.069023,19365.342875000002,2960.569286,26969.1410185,27268.58937575
32,synchtmlparsing,ep3,1,10,pywinder-wrk1-stp-10,,14281,47.59985156285768,28562,0,14281,47.59985156285768,50,1,50,50,0.0034882011063650004,0.787,0.002,0.001,0.003,0.004,0.0007484769974090001,0.337,0.0,0.0,0.0,0.0,919.4150106435135,1788.645,1031.545,21.809,1103.587,1126.5,0.11701309432112501,7.392,0.043000000000000003,0.018000000000000002,0.304,0.464,0.14176374203487002,0.40900000000000003,0.134,0.077,0.18,0.197,0,0,0,0,0,0,919.1562338071552,1788.411,1031.332,21.645,1103.336,1126.256,920.4155720552503,1790.246168,1032.656547,22.768894,1104.657118,1127.740333
33,asynchelloworld,consumption,1,1,pywinder-wrk1-stp-1,,37759,125.8450119775229,75518,0,37759,125.8450119775229,100,1,100,100,0.0033877750999740004,1.484,0.002,0.001,0.003,0.003,0.0009944913795380001,1.3519999999999999,0.0,0.0,0.0,0.0,735.5196881538199,993.833,793.176,4.056,879.8114,890.2732,0.20424897375459902,88.814,0.041,0.021,0.127,0.23600000000000002,0.013817632882226,1.923,0.013000000000000001,0.007,0.017,0.019,0,0,0,0,0,0,735.3016215471762,993.783,793.09,4.016,879.6836000000001,890.1827,735.6069102111571,993.895129,793.270153,4.138411,879.8966174000001,890.3552287
34,synchtmlparsing,ep2,1,1,pywinder-wrk1-stp-1,,12009,40.02610145771802,24018,0,12009,40.02610145771802,50,1,50,50,0.0048601881921890005,6.7059999999999995,0.003,0.001,0.004,0.005,0.0013968690149050002,6.577,0.0,0.0,0.0,0.0,1093.5901000916026,2276.294,1241.013,23.034,1391.6004,1436.7014000000001,0.130421850278959,31.141,0.05,0.023,0.332,0.5236000000000001,0.168683737197101,4.255,0.161,0.089,0.21,0.232,0,0,0,0,0,0,1093.2909945041222,2276.119,1240.653,22.857,1391.2558,1436.1966,1094.7039330400576,2277.423281,1242.184338,24.132388,1392.8530436,1437.8857312000002
35,asynccpuintensivesleep,consumption,1,1,pywinder-nologging-wrk1-stp-1,no logging in _handle__invocation_request,145,0.43934009759931103,145,0,145,0.43934009759931103,25,1,25,25,0.085351724137931,0.784,0.002,0.001,0.35799999999999904,0.6425999999999991,0.05723448275862,0.511,0.0,0.0,0.244599999999999,0.449,45422.42574482757,55242.076,55104.102,2222.0,55176.1552,55206.799600000006,0.147075862068965,7.95,0.049,0.033,0.106199999999999,0.315799999999998,0.024441379310344003,0.166,0.012,0.009000000000000001,0.066999999999999,0.09099999999999901,0,0,0,0,0,0,45422.25422758622,55242.028,55104.052,2221.907,55176.091,55206.7396,45421.36742077931,55240.517161,55102.535369,2222.36629,55174.599388,55205.2606096
